ticker,location,corporate_viability,avg_roe,avg_rotc,avg_npm,avg_current_ratio,avg_debt_ebit,avg_div_payout_ratio,avg_eps_reps
APD,PA,0.166666667,0.198948321,0.120031276,0.164602748,1.483213364,3.462748733,0.539870953,0.122523603
MGPI,KS,0.142857143,0.197604847,0.166550449,0.08689391,2.604075492,2.354971886,0.208255594,0.157159464
HP,OK,0.142857143,0.223305238,0.201962117,0.294157485,2.57774014,0.496420805,0.203581405,0.158138719
JKHY,MO,0.142857143,0.275329661,0.251647967,0.234036305,0.998601178,0.525445386,0.304045558,0.165801727
HI,IN,0.125,0.269369008,0.16805615,0.113901612,1.447705885,3.282329726,0.512133166,0.381087562
HOT,CT,0.125,0.247273618,0.10899452,0.08737022,0.996407245,2.672445831,0.713129656,0.215358958
LYB,TX,0.125,0.590071958,0.313321996,0.133579541,2.277498785,1.367537535,0.515473085,1.017282723
CSGS,CO,0.111111111,0.240870382,0.118410345,0.10009388,2.013977202,4.689660991,0.277075408,0.075407001
CTAS,OH,0.111111111,0.264294363,0.153855259,0.127059364,2.779821462,2.703825384,0.283837289,0.097914369
SYK,MI,0.111111111,0.193364509,0.137035325,0.174826198,3.020276645,2.440773517,0.385335802,0.178989393
CALM,MS,0.111111111,0.207448628,0.190040887,0.092075476,5.066702264,0.333187162,0.324042,0.147552352
ALGT,NV,0.111111111,0.45575902,0.214724871,0.16009993,1.342609643,2.859461886,0.256191273,0.253951633
CR,CT,0.111111111,0.234186222,0.14853113,0.099533539,1.978670739,4.997414744,0.543062158,0.126847606
MSA,PA,0.1,0.201393697,0.125849773,0.093040373,2.358829239,4.275943679,0.753937768,0.090488022
OLN,MO,0.1,0.153060055,0.093238108,0.073192588,1.95979889,52.67203463,9.439205147,0.37183167
ATR,IL,0.1,0.207818193,0.133969068,0.112182347,2.405484474,2.666778957,0.350363371,0.134903857
LEG,MO,0.1,0.264713211,0.14626757,0.088053461,1.89288675,3.121472576,0.870137086,0.101629892
TSS,GA,0.1,0.242551461,0.151400709,0.166378375,2.38483832,3.224799875,0.236337858,0.163238677
KMB,TX,0.1,0.231918247,0.234712223,0.117794483,1.060438943,3.027045219,0.724162377,0.209762534
RYN,FL,0.1,0.116763344,0.071627414,0.16139318,2.162596142,-3.980865769,1.137828207,0.266655552
PKG,IL,0.1,0.340988007,0.156294958,0.115747068,2.573119414,3.663772407,0.411350304,0.331455214
TUP,FL,0.1,0.524594454,0.292699754,0.117631811,1.103766533,2.527173152,0.516535731,0.135665564
IEX,IL,0.1,0.204707722,0.136462594,0.161105588,2.751137247,2.949520698,0.457178953,0.152840108
LSTR,FL,0.1,0.466038946,0.33890935,0.430519118,1.742757225,0.794816437,0.171468225,0.111994782
SLB,TX,0.090909091,0.150741315,0.114151004,0.122935467,1.689935707,-0.240059414,0.703802309,0.114455761
BAX,IL,0.090909091,0.268817135,0.170505721,0.168486513,2.023442096,6.62522942,0.392597914,0.203463455
K,MI,0.090909091,0.634229813,0.158653968,0.108321199,0.784548492,5.616222075,0.676325543,0.174299725
GIS,MN,0.090909091,0.367979489,0.150500364,0.138217594,0.80673356,4.22482842,0.558737355,0.152422848
CVX,CA,0.090909091,0.215672912,0.192841366,0.124149326,1.351409564,-0.404148299,1.966469315,0.112208908
UNP,NE,0.090909091,0.307753914,0.190636306,0.300289872,1.109866428,2.079044938,0.307234258,0.168572291
NUE,NC,0.090909091,0.142530529,0.097086357,0.056675327,3.267429401,4.722502601,1.416139815,0.095605127
CLX,CA,0.090909091,1.92016893,0.322130208,0.154653537,0.911704216,3.01594734,0.575415943,0.410264573
NEM,CO,0.090909091,0.07991902,0.061421728,0.132302777,2.449721413,2.212257817,0.461793771,18.85981393
FCX,AZ,0.090909091,-0.078635504,0.023220206,0.01760057,2.419911147,-1.443409461,0.269657023,0.071570267
DIS,CA,0.090909091,0.236136772,0.171143904,0.22144236,1.071775545,1.630954058,0.214345381,0.133051006
BDX,NJ,0.083333333,0.212601179,0.129881296,0.147596148,2.427819522,7.983339473,0.639715796,0.105663564
DY,FL,0.00E+00,0.204725277,0.102676105,0.051010656,3.046571943,5.555910137,0,0.151438484
FUEL,FL,0.00E+00,-0.583726413,-0.368202724,-0.188953998,1.88006421,-1.002068133,0,0.466219284
HAR,CT,0.00E+00,0.060283727,0.051286894,0.02237776,1.757663905,2.38074529,0.161084146,0.065345228
SHOS,IL,0.00E+00,0.139005752,4.653087337,0.029615624,2.690674988,0.654292781,0.554815801,3.582045089
WTS,MA,0.00E+00,0.097428947,0.066621653,0.062003634,2.49997175,3.234067693,0.346993119,0.101141536
LABL,OH,0.00E+00,0.142498836,0.060779637,0.062688132,1.61232541,-2.295646398,0.100159234,0.162088942
MYL,PA,0.00E+00,0.098905885,0.036876639,0.067247086,1.358919656,41.44522474,0,0.145232479
PXD,TX,0.00E+00,0.034848661,0.029138546,0.033269176,1.738143155,0.058639427,0.030656901,0.105676811
STX,Unknown,0.00E+00,0.601101982,0.248005736,0.118904445,1.810786627,3.288254384,0.316253056,-0.866701793
XPO,CT,0.00E+00,0.007086286,0.005857647,-0.019183772,2.664328335,4.55738926,0.087989798,-0.542219524
APTI,OR,0.00E+00,1.479976757,1.509603668,-0.214348804,1.233153941,-0.002749236,0,0.176876355
HAL,TX,0.00E+00,0.054645413,0.062855383,0.008236396,2.74177859,1.262579633,0.476258862,0.018733137
HXL,CT,0.00E+00,0.21872486,0.152104431,0.136998253,2.301389039,2.314632705,0.053812154,0.361173774
ARWR,CA,0.00E+00,-0.970171959,-0.869662932,-193.7971793,5.372183522,-0.051187765,0,0.184482146
ESI,IN,0.00E+00,0.504471958,0.238289585,0.05764297,0.934911101,1.659562752,0,0.040676011
MKSI,MA,0.00E+00,0.213844024,0.170477272,0.188065486,4.678452105,2.128314381,0.189143758,0.333411911
CMC,TX,0.00E+00,0.072450752,0.039229904,0.018576776,2.821852227,11.43197274,0.578531975,0.038746545
DELL,TX,0.00E+00,0.461885329,0.271534265,0.053068302,1.331231419,1.958263671,0.023440135,0.098604875
DIN,CA,0.00E+00,0.484729846,0.020840297,0.055210303,1.210519251,-6.856011779,9.072518009,1.56475627
LOW,NC,0.00E+00,0.446661606,0.170761702,0.067801939,1.145038371,2.759876801,0.345847633,0.293205278
TDG,OH,0.00E+00,-0.444923669,0.083690809,0.234282564,3.599866189,13.00445489,1.966069004,-0.110646217
TRMB,CA,0.00E+00,0.098106497,0.073389523,0.095084907,1.772559226,3.484359908,0,0.169936621
ACT,NJ,0.00E+00,0.096960428,0.065566345,0.085246783,1.673233556,9.147020464,0,0.101528024
GOOG,CA,0.00E+00,0.193260272,0.181564084,0.302929484,4.704985011,0.323944378,0,0.227601276
GUID,CA,0.00E+00,-0.130114729,-0.129132472,-0.031506844,1.232312569,-0.05931782,0,0.074083791
MCHP,AZ,0.00E+00,0.110400442,0.06109247,0.106092086,4.396849972,17.592267,1.33822052,0.159230257
PEB,MD,0.00E+00,0.033408387,0.022387469,0.07244,0.286809366,8.107688272,0.943722726,-0.472124103
SNAK,AZ,0.00E+00,0.045673807,0.060338739,0.020889411,1.495280913,2.290454502,0,0.047116625
BRCD,CA,0.00E+00,0.070920446,0.052012776,0.07580761,1.93931599,2.532223836,0.098328441,-1.433915254
EQT,PA,0.00E+00,0.052590754,0.028047591,0.06866632,1.574162657,6.64341036,0.288872916,0.045798539
FL,NY,0.00E+00,0.255363904,0.241832669,0.098188289,3.715408805,0.219110379,0.274559194,0.191233141
GRA,MD,0.00E+00,0.176187768,-0.637897475,0.086125875,2.521155111,5.154693474,0.645150042,2.459483039
MITK,CA,0.00E+00,-0.679024304,-0.402267913,-0.132843944,2.102805481,-1.013204121,0,0.044038861
NOV,TX,0.00E+00,0.084381126,0.079621208,0.078178306,2.497742009,5.039865699,0.439551977,0.113058843
ALE,MN,0.00E+00,0.099879005,0.055457317,0.128607641,1.216430242,8.116303964,0.714398531,0.2199412
MED,MD,0.00E+00,0.384081879,0.368231453,0.107292664,3.223199662,0.114760915,0,0.278226358
SCG,SC,0.00E+00,0.124595388,0.055239823,0.145130413,0.833161563,0.169952144,0.998851056,0.153484796
SNOW,CO,0.00E+00,-0.65029515,-0.151095095,-0.227728626,1.376305071,-15.01242992,0,0.01871209
WOOF,CA,0.00E+00,0.190213804,0.117534337,0.128145137,1.475120019,3.604128044,0,0.147525988
BONT,PA,0.00E+00,0.128647766,-0.021202417,-0.007580341,2.000154574,-71.82636014,0.275725802,-0.024313477
IPI,CO,0.00E+00,-0.017700508,-0.015100921,-0.052962626,3.576586711,0.930700092,0,0.021588452
NX,TX,0.00E+00,0.028926005,0.023415767,0.013902441,2.21618083,-3.097999544,0.644771504,0.044415509
AWK,NJ,0.00E+00,0.121352858,0.052109221,0.195967133,0.594465289,3.735423942,0.547359523,-0.376664902
CLF,OH,0.00E+00,0.21355041,0.133932465,0.158357951,2.086652275,4.779871376,0.120597025,-0.047688164
