ticker,fiscal_year,cash_operating_activities,dividends_paid
AIR,2018,64300000,-10300000
AIR,2019,45900000,-10500000
AIRI,2010,2900000,
AIRI,2011,3633000,
AIRI,2012,1694000,
AIRI,2013,8889000,
AIRI,2014,-2799000,
AIRI,2015,-894000,
AIRI,2016,-692000,
AIRI,2017,-3986000,
AIRI,2018,-2336000,
AIT,2010,184324000,-25416000
AIT,2011,76842000,-29751000
AIT,2012,90422000,-33800000
AIT,2013,111397000,-37194000
AIT,2014,110110000,-40410000
AIT,2015,157007000,-42663000
AIT,2016,162014000,-43330000
AIT,2017,164619000,-44619000
AIT,2018,147304000,-45858000
AIT,2019,180601000,-47266000
AJBI,2013,-36434,
AJG,2009,208800000,-127900000
AJG,2010,231200000,-133500000
AJG,2011,284000000,-145800000
AJG,2012,343000000,-204400000
AJG,2013,372500000,-182600000
AJG,2014,436600000,-223100000
AJG,2015,686100000,-257500000
AJG,2016,649600000,-272200000
AJG,2017,854200000,-282700000
AJG,2018,765100000,-301800000
AJRD,2010,148100000,
AJRD,2011,76800000,
AJRD,2012,86200000,
AJRD,2013,77400000,
AJRD,2014,150600000,
AJRD,2015,65100000,
AJRD,2016,158400000,
AJRD,2017,212800000,
AJRD,2018,252700000,
AKAM,2008,343494000,
AKAM,2009,424412000,
AKAM,2010,402455000,
AKAM,2011,446278000,
AKAM,2012,530020000,
AKAM,2013,563908000,
AKAM,2014,658070000,
AKAM,2015,793452000,
AKAM,2016,871812000,
AKAM,2017,800983000,
AKAM,2018,1008327000,
AKER,2013,-2730002,0
AKER,2014,-3883929,-15793
AKER,2015,-5132343,
AKER,2016,-4173148,
AKER,2017,-5080412,
AKER,2018,-8517370,
AKR,2015,113598000,-86353000
AKR,2016,111760000,-91334000
AKR,2017,119833000,-99527000
AKR,2018,96076000,-88887000
AKRX,2010,13782000,
AKRX,2011,19657000,
AKRX,2012,26244000,
AKRX,2013,57326000,
AKRX,2014,40442000,
AKRX,2015,297648000,
AKRX,2016,167759000,
AKRX,2017,249264000,
AKRX,2018,-68894000,
AKS,2008,83100000,-22400000
AKS,2009,59100000,-22000000
AKS,2010,-132400000,-22000000
AKS,2011,-180800000,-22000000
AKS,2012,-125500000,-11000000
AKS,2013,-110200000,
AKS,2014,-322800000,
AKS,2015,200300000,
AKS,2016,304600000,
AKS,2017,198800000,
AKS,2018,364700000,
AL,2010,41934000,
AL,2011,267166000,
AL,2012,491029000,
AL,2013,654213000,-7608000
AL,2014,769018000,-12243000
AL,2015,839795000,-16405000
AL,2016,1020078000,-20555000
AL,2017,1059713000,-30933000
AL,2018,1254101000,-41563000
ALB,2009,358525000,-44432000
ALB,2010,331309000,-49643000
ALB,2011,487359000,-57759000
ALB,2012,488766000,-69113000
ALB,2013,432859000,-78107000
ALB,2014,492609000,-84102000
ALB,2015,360810000,-119302000
ALB,2016,735524000,-135353000
ALB,2017,303979000,-140557000
ALB,2018,546165000,-144596000
ALCO,2010,7113000,-1014000
ALCO,2011,16747000,-737000
ALCO,2012,23635000,-1765000
ALCO,2013,13426000,-2048000
ALCO,2014,25063000,-2780000
ALCO,2015,33726000,-1877000
ALCO,2016,30357000,-1993000
ALCO,2017,28229000,-1987000
ALCO,2018,19055000,-1972000
ALCO,2019,49318000,-1833000
ALE,2009,137400000,-56500000
ALE,2010,228700000,-60800000
ALE,2011,241700000,-62100000
ALE,2012,239600000,-69100000
ALE,2013,239400000,-75200000
ALE,2014,269800000,-83800000
ALE,2015,340100000,-97900000
ALE,2016,332000000,-102700000
ALE,2017,402900000,-108700000
ALE,2018,433100000,-115000000
ALEX,2015,129100000,-10300000
ALEX,2016,111200000,-12300000
ALEX,2017,-1300000,-10300000
ALG,2010,41877000,-2826000
ALG,2011,10667000,-2845000
ALG,2012,51263000,-2854000
ALG,2013,31627000,-3371000
ALG,2014,30210000,-3328000
ALG,2015,52560000,-3628000
ALG,2016,75554000,-4114000
ALG,2017,70804000,-4614000
ALG,2018,12910000,-5124000
ALGN,2009,74165000,
ALGN,2010,129529000,
ALGN,2011,130469000,
ALGN,2012,133778000,
ALGN,2013,185976000,
ALGN,2014,226899000,
ALGN,2015,237997000,
ALGN,2016,247654000,
ALGN,2017,438539000,
ALGN,2018,554681000,
ALGT,2010,99254000,-14942000
ALGT,2011,139524000,0
ALGT,2012,166367000,-38602000
ALGT,2013,207121000,0
ALGT,2014,269781000,-41787000
ALGT,2015,365367000,-62439000
ALGT,2016,346861000,-67540000
ALGT,2017,391131000,-45720000
ALGT,2018,356612000,-45247000
ALJ,2010,21330000,-8751000
ALJ,2011,69560000,-8886000
ALJ,2012,387810000,-9196000
ALJ,2013,162233000,-24081000
ALJ,2014,193658000,-36483000
ALJ,2015,226065000,-38387000
ALJ,2016,59516000,-42518000
ALJJ,2015,11402000,
ALJJ,2016,15496000,
ALJJ,2017,25233000,
ALJJ,2018,17762000,
ALJJ,2019,24617000,
ALK,2009,292500000,
ALK,2010,553000000,
ALK,2011,696000000,0
ALK,2012,753000000,0
ALK,2013,981000000,-28000000
ALK,2014,1030000000,-68000000
ALK,2015,1584000000,-102000000
ALK,2016,1386000000,-136000000
ALK,2017,1590000000,-148000000
ALK,2018,1195000000,-158000000
ALKS,2011,-5906000,
ALKS,2012,-2482000,
ALKS,2013,126551000,
ALKS,2014,11139000,
ALKS,2015,-40360000,
ALKS,2016,-63802000,
ALKS,2017,8719000,
ALKS,2018,99281000,
ALLE,2013,223900000,-5200000
ALLE,2014,255900000,-34500000
ALLE,2015,257000000,-58300000
ALLE,2016,377500000,-46000000
ALLE,2017,347200000,-60900000
ALLE,2018,457800000,-79400000
ALNY,2009,-72145000,
ALNY,2010,-84341000,
ALNY,2011,-87068000,
ALNY,2012,-115609000,
ALNY,2013,-68657000,
ALNY,2014,-165641000,
ALNY,2015,-189140000,
ALNY,2016,-307701000,
ALNY,2017,-382786000,
ALNY,2018,-562616000,
ALOT,2010,1347564,-2035778
ALOT,2011,5472000,-2055000
ALOT,2012,3863000,-2595000
ALOT,2013,-4462000,-2103000
ALOT,2014,1491000,-2128000
ALOT,2015,7727000,-2048000
ALOT,2016,6953000,-2082000
ALOT,2017,3724000,-1944000
ALOT,2018,5005000,-1933000
ALPN,2014,-14448000,
ALPN,2015,4820000,
ALPN,2016,-3797000,
ALPN,2017,-16572000,
ALPN,2018,-28416000,
ALR,2011,271253000,-5425000
ALRM,2014,15635000,0
ALRM,2015,28019000,-20000000
ALRM,2016,22600000,0
ALRM,2017,57187000,0
ALRM,2018,60710000,
ALRN,2016,-15014000,
ALRN,2017,-20531000,
ALRN,2018,-27926000,
ALSK,2010,86367000,-38394000
ALSK,2011,79081000,-38818000
ALSK,2012,84356000,-9117000
ALSK,2013,67707000,
ALSK,2014,51169000,
ALSK,2015,13314000,
ALSK,2016,37206000,
ALSK,2017,30406000,
ALSK,2018,56195000,
ALSN,2011,469200000,
ALSN,2012,497500000,-32800000
ALSN,2013,463500000,-77100000
ALSN,2014,573300000,-91600000
ALSN,2015,580000000,-106000000
ALSN,2016,591000000,-100000000
ALSN,2017,658000000,-89000000
ALSN,2018,837000000,-80000000
ALT,2018,-9388908,
ALTMS,2010,61185000,
ALTMS,2011,150655000,
ALTMS,2012,147193000,
