ticker,fiscal_year,num_shs_outstand,revenue,pretax_income,net_income
SPLS,2016,642000000,21059000000,492000000,379000000
SPLS,2017,649000000,18247000000,-352000000,-1497000000
SPNC,2010,33091262,117917000,-6831000,-13063000
SPNC,2011,33458287,127287000,1125000,894000
SPNC,2012,34376847,140285000,2960000,2226000
SPNC,2013,38940544,158811000,411000,-369000
SPNC,2014,41679369,202840000,-41223000,-40901000
SPNC,2015,42430221,245705000,-58748000,-59474000
SPNC,2016,42935442,270823000,-57333000,-58120000
SPNE,2014,11048000,138695000,-20618000,-24545000
SPNE,2015,11139000,133178000,-53053000,-55532000
SPNE,2016,11222000,128860000,-43764000,-43212000
SPNE,2017,12426000,131814000,-32233000,-32115000
SPNE,2018,15358000,143443000,-33395000,-33524000
SPOK,2010,22265961,233254000,60000000,77898000
SPOK,2011,22083942,233693000,57525000,83786000
SPOK,2012,21924748,219696000,46063000,26984000
SPOK,2013,21648654,209752000,45339000,27530000
SPOK,2014,21644163,200273000,27327000,20745000
SPOK,2015,21120268,189628000,26298000,80246000
SPOK,2016,20586066,179561000,22971000,13979000
SPOK,2017,20210260,171175000,11559000,-15306000
SPOK,2018,19667891,169474000,-2185000,-1479000
SPPI,2010,49502854,74113000,-48887000,-48844000
SPPI,2011,53272767,192963000,53635000,49931000
SPPI,2012,58588916,267707000,79930000,94201000
SPPI,2013,60729128,155854000,-36636000,-62134000
SPPI,2014,64708163,186830000,-43533000,-45719000
SPPI,2015,64882417,162556000,-50379000,-50785000
SPPI,2016,72824070,146444000,-70825000,-68512000
SPPI,2017,85115592,128367000,-108026000,-91248000
SPPI,2018,103305911,109333000,-120010000,-120011000
SPRT,2010,15604439,44177000,-18010000,-18067000
SPRT,2011,16094390,53839000,-18088000,-18640000
SPRT,2012,16264373,71954000,-5327000,-5424000
SPRT,2013,17182615,88163000,11121000,10383000
SPRT,2014,17944000,82991000,-2856000,-3483000
SPRT,2015,18182000,77333000,-28034000,-27041000
SPRT,2016,18409000,61660000,-15933000,-15956000
SPRT,2017,18644000,60121000,-922000,-1526000
SPRT,2018,18826000,69549000,-9101000,-9100000
SPXC,2008,49952000,5826600000,410800000,247900000
SPXC,2009,49363000,4175100000,297900000,31700000
SPXC,2010,49718000,4098800000,223600000,205600000
SPXC,2011,50499000,4272900000,120400000,171200000
SPXC,2012,50031000,4894600000,-179400000,180400000
SPXC,2013,45384000,1968800000,-10500000,209900000
SPXC,2014,42400000,1694400000,252100000,393400000
SPXC,2015,40733000,1559000000,-154300000,-82700000
SPXC,2016,41610000,1472300000,39400000,-67200000
SPXC,2017,42413000,1425800000,36100000,89300000
SPXC,2018,43054000,1538600000,79600000,81200000
SPXF,2014,40809000,2769600000,233400000,134500000
SPXF,2015,40863000,2388500000,137200000,87500000
SPXF,2016,41345000,1996000000,-482000000,-381800000
SPXF,2017,41799000,1951500000,57900000,46400000
SPXF,2018,42197000,2090100000,115800000,44000000
SQ,2015,170498000,1267118000,-176071000,-179817000
SQ,2016,341555000,1708721000,-169673000,-171590000
SQ,2017,379344000,2214253000,-62664000,-62813000
SQ,2018,405731000,3298177000,-36127000,-38453000
SQBG,2014,749115,41837000,2290000,-1068000
SQBG,2015,1029438,88262000,1059000,-2871000
SQBG,2016,1547810,155528000,15788000,-821000
SQBG,2017,1571544,167464000,-314081000,-185718000
SQBG,2018,1592502,169956000,-5672000,-10484000
SRCL,2009,84769912,1177736000,277688000,175691000
SRCL,2010,85057775,1439388000,331853000,207879000
SRCL,2011,85467421,1676048000,372324000,234751000
SRCL,2012,85401365,1913149000,417197000,267996000
SRCL,2013,85902550,2142807000,477746000,311372000
SRCL,2014,84932792,2555601000,487568000,326456000
SRCL,2015,84944841,2985908000,410907000,267046000
SRCL,2016,84932402,3562342000,328145000,206359000
SRCL,2017,85300000,3580700000,-107900000,42400000
SRCL,2018,87100000,3485900000,-275400000,-244700000
SRDX,2010,17372000,54488000,5384000,-21089000
SRDX,2011,17419000,52756000,16529000,-18506000
SRDX,2012,17318000,51928000,16306000,10231000
SRDX,2013,14464000,56132000,20360000,15167000
SRDX,2014,13632000,57439000,18472000,12031000
SRDX,2015,13029000,61898000,18241000,11947000
SRDX,2016,12998000,71366000,16948000,9985000
SRDX,2017,13153000,73112000,7033000,3926000
SRDX,2018,13157000,81336000,-7532000,-4457000
SRDX,2019,13389000,100077000,7558000,7592000
SRE,2009,243339000,8106000000,1476000000,1129000000
SRE,2010,244736000,9003000000,787000000,719000000
SRE,2011,239720000,10036000000,1723000000,1339000000
SRE,2012,241347000,9647000000,943000000,865000000
