ticker,company_name,location,fiscal_year,num_shs_outstand,revenue,pretax_income,net_income,total_current_assets,total_assets,st_debt,total_current_liabilities,lt_debt,total_liabilities,retained_earnings,cash_operating_activities,dividends_paid,ROE,ROTC,NPM,CURRENT_RATIO,DEBT_EBIT,DIV_PAYOUT_RATIO,EPS,REPS
ARRY,Array Biopharma Inc,CO,2012,70619000.0,85135000.0,-23581000,-23581000,93107000.0,108073000.0,150000.0,75936000.0,92106000.0,193879000.0,-570737000.0,-33546000,0.0,0.2748176118220171,-3.655968992248062,-0.2769836142597052,1.2261246312684366,-3.9123022772571137,0.0,-0.3339186337954375,-8.081918463869497
ARRY,Array Biopharma Inc,CO,2017,163207000.0,150852000.0,-116818000,-116818000,270177000.0,279145000.0,0.0,69551000.0,133905000.0,267418000.0,-918661000.0,-39354000,0.0,-9.961456467979875,-0.8021451329378159,-0.7743881420199931,3.884588287731305,-1.1462702665685083,0.0,-0.7157658678855686,-5.628808813347467
ARRY,Array Biopharma Inc,CO,2018,198490000.0,173768000.0,-145046000,-147346000,451543000.0,460364000.0,18399000.0,95931000.0,93376000.0,240621000.0,-1066007000.0,-119783000,0.0,-0.6600710830379125,-0.4375207379388148,-0.834710648681,4.706956041321367,-0.7706175971760683,0.0,-0.7423346264295431,-5.370582900901809
ARTX,Arotech Corp,MI,2010,13689149.0,54237814.0,-843355,-917219,36177570.0,83636939.0,3878728.0,20780897.0,28854.0,31152570.0,-170705241.0,6880116,0.0,-0.016068688946227018,-0.01495523714013725,-0.015549207053219365,1.7409051206981103,-4.633377403347345,0.0,-0.06700336156761827,-12.47011344532812
ARTX,Arotech Corp,MI,2011,14011566.0,62135578.0,-3354550,-11527005,38599280.0,81101945.0,6724079.0,28378731.0,1019245.0,39976483.0,-182232246.0,-11131815,0.0,-0.08156868851710408,-0.06864402156419437,-0.05398758823809444,1.3601482039489363,-2.308304839695339,0.0,-0.822677850570022,-13.005844314618367
ARTX,Arotech Corp,MI,2012,14713583.0,80050434.0,-1400238,-3016677,36382223.0,77880018.0,10676618.0,26472533.0,992917.0,39458916.0,-185248923.0,-4237320,0.0,-0.03644450385624025,-0.027954086509221276,-0.017491947638909742,1.37433856442827,-8.333965368744456,0.0,-0.20502667501179012,-12.59033391118941
ARTX,Arotech Corp,MI,2013,16507848.0,88571428.0,3326690,2152351,38600998.0,80654642.0,95382.0,18234710.0,1830348.0,32677666.0,-183096572.0,10200870,0.0,0.06933930141824696,0.06666351920875793,0.03755940346812518,2.1168967315630467,0.5788726932777024,0.0,0.13038350001768856,-11.091486425123371
ARTX,Arotech Corp,MI,2014,21934532.0,103562349.0,4907019,3486961,56028414.0,124739347.0,4413968.0,28117442.0,16934360.0,58383899.0,-179609611.0,7402640,0.0,0.07395050667128342,0.055949917139257496,0.047382268241134624,1.9926568711335833,4.350569663577826,0.0,0.15897129694857406,-8.188440537504972
ARTX,Arotech Corp,MI,2015,23687733.0,96573947.0,-890023,-2945026,50847562.0,117493016.0,8422438.0,26776335.0,11856522.0,53445645.0,-182554637.0,4351916,0.0,-0.013896323707026164,-0.01055450876903443,-0.009215974159159096,1.8989739260432767,-22.784759494979344,0.0,-0.12432705147427996,-7.706716256891278
ARTX,Arotech Corp,MI,2016,25494097.0,92975752.0,-696154,-2848256,47678194.0,109410336.0,4801872.0,23760977.0,8703736.0,44325290.0,-185402893.0,2641673,0.0,-0.010696066804654328,-0.008857974384587766,-0.007487479101002593,2.006575487194824,-19.400316596615117,0.0,-0.11172217631399144,-7.272385172143967
ARTX,Arotech Corp,MI,2017,26380312.0,98722678.0,1810006,3834136,51839327.0,116398176.0,7340131.0,26318794.0,8570524.0,45304958.0,-181568757.0,1904813,0.0,0.025459615571206805,0.020803740541527387,0.0183342473752586,1.969669544888721,8.790387987664129,0.0,0.14534081325497591,-6.882737285290636
ARTX,Arotech Corp,MI,2018,26471507.0,96599741.0,2433596,1869955,54474674.0,117963645.0,7705069.0,27700812.0,6360569.0,41187928.0,-176498057.0,3272587,0.0,0.03169747017797307,0.026789516734971645,0.02519257272128711,1.966537082017668,5.779775279052069,0.0,0.07064029259837756,-6.667472954977591
ARW,Arrow Electronics Inc,NY,2009,119800000.0,14684101000.0,188921000,123512000,5839628000.0,7762366000.0,123095000.0,3332246000.0,1276138000.0,4845069000.0,1694517000.0,849855000,0.0,0.0647589189582,0.04376686829467188,0.01286568377594243,1.7524600524691154,7.40644502199332,0.0,1.0309849749582638,14.144549248747913
ARW,Arrow Electronics Inc,NY,2010,117997000.0,18744676000.0,679003000,479630000,7085834000.0,9600538000.0,61210000.0,4343243000.0,1761203000.0,6349343000.0,2174147000.0,220772000,0.0,0.20884720848795596,0.13383040234878216,0.03622377895462157,1.6314615599449536,2.683954268243292,0.0,4.064764358415892,18.42544301973779
ARW,Arrow Electronics Inc,NY,2011,114025000.0,21390264000.0,809801000,598810000,7024591000.0,9829079000.0,33843000.0,3958927000.0,1927823000.0,6153819000.0,2772957000.0,120883000,0.0,0.22033842503659606,0.1436600374033649,0.037858392023586054,1.7743673980348715,2.4224050106137187,0.0,5.251567638675729,24.31885112913835
