ticker,fiscal_year,num_shs_outstand,revenue,pretax_income,net_income,total_current_assets,total_assets,st_debt,total_current_liabilities,lt_debt,total_liabilities,retained_earnings,cash_operating_activities,dividends_paid
ABAX,2012,21946000,180878000,48276000,27459000,152963000,201763000,995000,20019000,1071000,25569000,55133000,29197000,-22023000
ABAX,2013,22270000,162031000,25222000,14185000,165812000,217380000,1047000,17259000,1402000,23464000,69318000,35572000,0
ABAX,2014,22497000,202593000,33042000,27331000,209861000,269064000,1423000,41285000,2213000,48870000,87643000,36396000,-9006000
ABAX,2015,22661000,218901000,47147000,31630000,212198000,271380000,1281000,29172000,2306000,35068000,109303000,28056000,-9970000
ABAX,2016,22515000,227220000,51112000,32716000,233178000,305646000,1663000,33443000,2973000,39422000,130304000,33152000,-11715000
ABAX,2017,22672000,244700000,43400000,27177000,264248000,341103000,2253000,43880000,3214000,50410000,143870000,43516000,-13611000
ABBV,2012,1577000000,18380000000,5725000000,5275000000,15354000000,27008000000,1042000000,6776000000,14630000000,27358000000,,6345000000,
ABBV,2013,1589000000,18790000000,5332000000,4128000000,17848000000,29198000000,431000000,6879000000,14292000000,24706000000,1567000000,6267000000,-2555000000
ABBV,2014,1595000000,19960000000,2369000000,1774000000,16081000000,27513000000,4439000000,11393000000,10538000000,25771000000,535000000,3549000000,-2661000000
ABBV,2015,1625000000,22859000000,6645000000,5144000000,16314000000,53050000000,2431000000,10894000000,29240000000,49105000000,2248000000,7535000000,-3294000000
ABBV,2016,1622000000,25638000000,7884000000,5953000000,16187000000,66099000000,402000000,9781000000,36440000000,61463000000,4378000000,7041000000,-3717000000
ABBV,2017,1596000000,28216000000,7727000000,5309000000,21223000000,70786000000,6415000000,16641000000,30953000000,65689000000,5459000000,9960000000,-4107000000
ABBV,2018,1541000000,32753000000,5197000000,5687000000,16945000000,59352000000,5308000000,17239000000,35002000000,67798000000,3368000000,13427000000,-5580000000
ABC,2008,321284000,70189733000,761338000,250559000,8669761000,12217786000,1719000,8167589000,1187412000,9507741000,2479078000,737069000,-48674000
ABC,2009,300573000,71759990000,824074000,503397000,9953753000,13572740000,1068000,9479610000,1176933000,10856271000,2919760000,783763000,-62696000
ABC,2010,282258000,77776460000,1016162000,636748000,10748350000,14434843000,422000,9906344000,1343158000,11480546000,3465886000,1108624000,-90622000
ABC,2011,272471000,78695659000,1117989000,706624000,11375041000,14982671000,392089000,10875264000,972863000,12115813000,4055664000,1167948000,-117624000
ABC,2012,252906000,78080806000,1216873000,718986000,11058464000,15442256000,,11265586000,1395931000,12987414000,1270423000,1305449000,-132760000
ABC,2013,231067000,87959167000,824458000,433707000,14393651000,18918638000,,14870635000,1396606000,16598893000,1508414000,788125000,-195716000
ABC,2014,227367000,1.2E+11,669863000,274230000,16800205000,21532183000,,17250160000,1995632000,19575284000,1570429000,1464654000,-214469000
ABC,2015,217786000,1.36E+11,268964000,-138165000,20334488000,27962982000,0,21578227000,3739225000,27346596000,1164489000,3922228000,-253919000
ABC,2016,212206000,1.47E+11,1390910000,1427929000,22851847000,33637501000,610210000,25280369000,3852484000,31508097000,2303941000,3178497000,-288477000
ABC,2017,218375000,1.53E+11,917887000,364484000,24303299000,35316470000,12121000,26818165000,3781569000,33252009000,2395218000,1504138000,-320270000
ABC,2018,217872000,1.68E+11,1177423000,1658405000,25894372000,37669838000,151657000,27869687000,4510828000,34619877000,3720582000,1411388000,-333041000
ABC,2019,210165000,1.8E+11,967106000,855365000,28132054000,39171980000,139012000,29581294000,4354398000,36178774000,4235491000,2344023000,-338974000
ABCD,2010,44322000,181260000,-16533000,-15950000,76177000,383062000,1658000,66774000,163167000,259050000,-135218000,21259000,
ABCD,2011,46142000,172258000,-49430000,-49441000,109921000,369680000,826000,64037000,186459000,279610000,-184659000,43640000,
ABCD,2012,49395000,148559000,-133511000,-133783000,109230000,230459000,1290000,78400000,177342000,276504000,-318442000,10329000,
